sect_class,section,class,subclass,section_text,class_text,subclass_text
A01,A,01,B,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('SOIL WORKING IN AGRICULTURE OR FORESTRY', 'PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ')"
A01,A,01,C,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('PLANTING', 'SOWING', 'FERTILISING ')"
A01,A,01,D,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('HARVESTING', 'MOWING')"
A01,A,01,F,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('PROCESSING OF HARVESTED PRODUCE', 'HAY OR STRAW PRESSES', 'DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE ')"
A01,A,01,G,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('HORTICULTURE', 'CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED', 'FORESTRY', 'WATERING ')"
A01,A,01,H,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('NEW PLANTS OR ', ' PROCESSES FOR OBTAINING THEM', 'PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES')"
A01,A,01,J,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('MANUFACTURE OF DAIRY PRODUCTS ',)"
A01,A,01,K,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('ANIMAL HUSBANDRY', 'CARE OF BIRDS, FISHES, INSECTS', 'FISHING', 'REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR', 'NEW BREEDS OF ANIMALS')"
A01,A,01,L,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('SHOEING OF ANIMALS',)"
A01,A,01,M,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('CATCHING, TRAPPING OR SCARING OF ANIMALS ', 'APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS')"
